dateColumn,sum(pro.time_spent),count(uid)
2019-09-08,911.0,25
2019-08-13,3.8403428E7,3123615
2019-09-24,,19
2019-09-03,3013.0,31
2019-10-06,,10
2019-08-14,3.1797905E7,2958784
2019-08-30,3.779816248E7,3314169
2019-08-12,4.6649061E7,3252447
2019-10-04,,1
2019-09-22,54.0,8
2019-09-28,,15
2019-08-07,5.4858342E7,3533842
2019-10-12,,5
2019-08-22,3.5876136730000004E7,3086877
2019-09-19,,7
2019-10-11,,4
2019-08-21,3.7035327E7,3072695
2019-10-07,,4
2019-09-14,313.0,32
2019-09-27,,11
2019-08-02,3.2252086E7,2658475
2019-09-23,230.0,50
2019-09-06,1041.0,19
2019-08-26,3.3112051E7,3147850
2019-09-16,73.0,9
2019-10-08,,8
2019-09-05,1144.0,30
2019-09-12,1010.0,19
2019-10-03,,3
2019-09-26,0.0,7
2019-08-25,3.6879368E7,3130464
2019-08-08,4.3731598E7,3373161
2019-08-20,3.9208941333E7,3142773
2019-08-03,3.2713301E7,2724507
2019-10-13,,3
2019-08-05,6.8901842E7,3529628
2019-08-10,4.3892415E7,4023788
2019-09-11,1031.0,16
2019-09-02,1010.0,37
2019-08-06,5.9841002E7,3589221
2019-08-23,3.6135019E7,3147862
2019-09-18,,4
2019-08-04,3.627846E7,2725163
2019-09-15,128.0,2
2019-10-14,,3
2019-09-29,215.0,15
2019-09-09,294.0,16
2019-08-09,4.2882943E7,3366253
2019-10-01,0.0,11
2019-09-10,256.0,13
2019-08-28,3.5839158261999995E7,3334919
2019-08-24,3.7498326E7,3164576
2019-09-13,594.0,7
2019-08-16,2543569.0,113208
2019-08-31,3.7446911E7,3181940
2019-09-21,554.0,12
2019-09-30,246.0,35
2019-08-18,3.3371128E7,3039225
2019-09-20,,10
2019-08-27,3.6074221E7,3202368
2019-08-17,3.4943791E7,3129752
2019-08-19,3.7253385E7,3101357
2019-08-15,2.7758457E7,2429763
2019-09-07,367.0,14
2019-09-17,113.0,7
2019-09-25,,3
2019-09-01,16914.0,280
2019-08-11,3.2812435E7,2918704
2019-08-29,3.8440747551E7,3367259
2019-09-04,1800.0,22
